year,XEUOUZ,DCPWLP,XEYOPS,XXDGJI,WSRNWD,LDCKJJ,THIBEV,ZKTWAS,ROQWUT,BZFTZE,EIDUNJ,HPPEVH,ICGDTN,COQYCO,YATYVW,AKRDYU,KJIGPC,UQWXRL
1,100,100,100,100,50.5,0,0,0,0,49.5,100,100,100,100,0,0,0,0
2,98.4838,98.0953,101.7982,100.5252,52.2088,0,0,0,0,48.3996,100.7956,99.3335,100.9873,100.5953,0,0,0,0
3,100.2451,96.1629,101.4125,102.2622,53.6991,0,0,0,0,48.593,101.7546,98.0968,102.8796,101.4578,0,0,0,0
4,99.4837,97.3165,100.661,103.4214,51.4276,0,0,0,0,52.4368,99.7587,96.5601,101.7338,100.8207,0,0,0,0
5,97.7224,98.4716,98.9858,102.1165,52.2701,0,0,0,0,52.6401,98.4922,95.1317,102.7653,99.5371,0,0,0,0
6,99.4742,97.3046,98.1263,104.0314,50.0219,0,0,0,0,54.7893,97.5702,93.2952,103.7845,98.5192,0,0,0,0
7,101.0931,97.1462,99.0149,102.2668,50.8629,0,0,0,0,51.9955,97.1712,95.2757,105.5258,99.4157,0,0,0,0
8,102.8568,96.2562,98.5933,101.2208,50.2569,0,0,0,0,53.7061,95.4416,95.2586,103.8758,99.9019,0,0,0,0
9,102.1235,94.6249,100.2691,99.7749,54.3924,0,0,0,0,51.562,96.822,96.0084,105.6028,100.1897,0,0,0,0
10,101.2766,95.0529,100.1135,98.722,54.6926,0,0,0,0,52.5833,95.9419,97.5049,104.0285,98.7989,0,0,0,0
11,102.1597,93.2855,98.1914,98.0082,57.7164,0,0,0,0,50.2842,97.251,96.2732,105.7005,98.8523,0,0,0,0
12,102.7567,92.5266,98.3463,99.7692,57.8409,0,0,0,0,51.1375,95.704,97.4017,107.1669,98.8296,0,0,0,0
13,104.1321,91.3192,97.9917,99.9586,59.2253,0,0,0,0,49.6896,97.1259,97.654,108.5728,98.5845,0,0,0,0
14,103.5256,90.918,97.2788,98.7561,61.1853,0,0,0,0,47.4489,98.6593,98.0496,109.7373,96.7687,0,0,0,0
15,105.0333,89.7331,95.3655,100.2662,62.5679,0,0,0,0,47.1631,100.0464,99.8153,109.8536,95.0876,0,0,0,0
16,103.1285,88.2414,95.8588,98.4887,65.7524,0,0,0,0,42.9168,100.2499,99.7951,110.4714,97.0366,0,0,0,0
17,101.2579,86.473,97.7269,97.8167,68.331,0,0,0,0,40.4679,101.8635,101.0959,109.6652,97.513,0,0,0,0
18,102.8586,88.0156,96.0406,98.3314,68.468,0,0,0,0,42.0371,102.7044,100.9106,110.9612,96.101,0,0,0,0
19,101.9818,88.9381,95.6811,97.9569,69.3441,0,0,0,0,42.8117,103.7272,100.8584,109.9109,95.5939,0,0,0,0
20,103.4973,90.3456,94.0628,96.85,70.1103,0,0,0,0,43.0248,103.4804,102.3198,108.2863,96.7547,0,0,0,0
21,104.2434,91.0556,93.3625,96.5422,66.3854,0,0,0,0,44.7824,101.5132,102.6919,106.4576,95.1439,0,0,0,0
22,102.7649,91.633,94.4131,98.0245,67.3528,0,0,0,0,43.8813,103.4152,103.2912,105.8938,96.7069,0,0,0,0
23,103.6419,91.7914,92.6755,99.9208,67.8159,0,0,0,0,41.4426,105.389,102.8501,107.2374,97.9264,0,0,0,0
24,105.0969,93.2166,94.3648,101.3245,64.378,0,0,0,0,46.416,103.4434,101.727,106.0363,99.7581,0,0,0,0
25,104.6357,94.8923,95.3641,100.8703,64.2586,0,0,0,0,48.3607,103.512,100.28,105.6242,101.2441,0,0,0,0
26,103.8665,95.7009,95.7819,101.5582,63.184,0,0,0,0,48.8718,103.403,100.5072,105.0352,101.2743,0,0,0,0
27,105.6546,94.6549,96.5761,101.9088,62.0824,0,0,0,0,50.067,102.5386,101.2272,105.5946,100.4493,0,0,0,0
28,106.3743,96.2042,98.2188,103.4997,58.2006,0,0,0,0,52.0255,103.467,102.4721,104.4766,99.0565,0,0,0,0
29,108.2,97.4084,97.0833,104.4968,55.059,0,0,0,0,53.4991,101.8021,101.9434,106.2543,97.7487,0,0,0,0
30,109.4699,96.4497,95.1084,105.1185,55.6577,0,0,0,0,51.316,102.3216,103.2216,106.9889,96.9561,0,0,0,0
31,110.3016,97.0917,96.7852,106.7195,54.2641,0,0,0,0,52.0025,101.6536,104.2632,108.582,97.6609,0,0,0,0
32,109.5184,95.2304,95.4562,108.5934,55.4039,0,0,0,0,50.5881,102.8174,104.0377,109.456,96.303,0,0,0,0
33,110.0551,93.5072,95.4783,109.959,55.2148,0,0,0,0,48.7846,103.3237,102.295,111.1756,97.6355,0,0,0,0
34,111.3405,94.5663,96.2682,111.1572,52.1226,0,0,0,0,53.4739,103.4028,101.2273,109.1943,97.1566,0,0,0,0
35,111.5406,94.3262,96.6928,109.5307,52.6762,0,0,0,0,52.6641,105.2838,100.1865,109.8413,95.7908,0,0,0,0
36,110.8017,92.584,95.6852,109.2784,54.1527,0,0,0,0,51.9918,106.919,98.4515,109.2708,94.8689,0,0,0,0
37,112.4019,91.085,96.6562,111.155,51.979,0,0,0,0,52.4127,107.4137,98.7345,107.4763,96.2399,0,0,0,0
38,113.3465,92.3088,96.9026,112.7707,50.6856,0,0,0,0,53.931,107.9584,98.5699,106.3259,98.2291,0,0,0,0
39,112.3803,91.2078,98.6363,112.0852,51.5932,0,0,0,0,54.5379,107.2667,98.3714,106.3367,98.3902,0,0,0,0
40,112.4244,89.4723,99.0379,112.5472,50.9802,0,0,0,0,54.6878,107.4462,98.0238,104.3699,98.9344,0,0,0,0
41,113.3636,90.6366,98.8856,111.6335,49.8088,0,0,0,0,54.7751,108.982,98.6309,102.4717,98.4685,0,0,0,0
42,114.8842,90.1771,100.3076,113.0205,49.1921,0,0,0,0,55.0665,108.9458,100.3189,104.1034,98.1469,0,0,0,0
43,115.6137,88.8376,98.308,113.3741,51.1307,0,0,0,0,54.3263,110.3228,98.7219,103.9441,98.949,0,0,0,0
