year,URACRS,OJUDXC,ZLVJZY,VRUUYH,CQUQOZ,UIPTXG,VHORCN,LDLAIT,SFOQAY,IEIFGC,JQNKGR,EBEFRI,QRBHUF,HXVJWC,JDTJUH,CKZWBW,UUDRAE,OMZFUP
1,100,100,100,100,50.5,0,0,0,0,49.5,100,100,100,100,0,0,0,0
2,100.3312,100.0809,100.4561,100.0702,50.287,0,0,0,0,50.1308,99.8459,99.9094,100.3029,100.0364,0,0,0,0
3,100.3273,100.0296,100.3619,100.2841,50.1093,0,0,0,0,50.7339,99.7741,99.9907,99.8784,99.735,0,0,0,0
4,100.7663,100.0262,100.5991,100.3819,49.7495,0,0,0,0,50.8612,99.928,99.6048,99.9342,100.1949,0,0,0,0
5,100.9489,100.2497,101.0081,100.4091,49.5443,0,0,0,0,50.9247,99.9668,99.8598,100.1187,100.2902,0,0,0,0
6,101.3134,100.5575,101.1128,100.4455,49.5532,0,0,0,0,51.1705,100.0801,100.1296,100.1185,100.4836,0,0,0,0
7,101.6004,100.6135,101.1384,100.2431,49.9784,0,0,0,0,51.124,100.2178,100.313,100.505,100.4141,0,0,0,0
8,101.352,100.643,100.9952,100.6809,50.0944,0,0,0,0,51.3214,100.6604,99.8421,100.7567,100.1849,0,0,0,0
9,101.057,100.643,100.557,100.8443,50.9464,0,0,0,0,50.772,100.6623,99.8232,101.2347,100.5555,0,0,0,0
10,100.6032,101.0756,100.3851,101.0064,50.9046,0,0,0,0,50.6147,100.6231,99.6135,101.2992,100.8244,0,0,0,0
11,100.7452,100.9859,100.2973,101.0378,50.7196,0,0,0,0,51.262,100.4327,99.2072,101.2355,100.6484,0,0,0,0
12,100.747,101.1856,100.2217,100.7843,50.5834,0,0,0,0,51.8229,100.0014,99.4954,100.7825,100.4197,0,0,0,0
13,100.9213,100.8771,99.7371,100.9666,50.4494,0,0,0,0,51.4613,100.1713,99.766,100.4066,100.1464,0,0,0,0
14,100.8726,101.0171,99.3626,101.036,50.9773,0,0,0,0,50.5438,100.6554,100.1894,100.2848,100.5922,0,0,0,0
15,100.7631,100.9834,99.274,101.4573,50.781,0,0,0,0,50.7086,101.0624,99.8099,99.9352,100.7427,0,0,0,0
16,100.8947,100.651,98.8821,101.5369,51.592,0,0,0,0,50.2812,101.2646,100.1048,100.1565,100.7497,0,0,0,0
17,100.7462,100.1839,99.2522,101.8033,51.8704,0,0,0,0,49.9937,101.5149,99.9271,100.4084,101.0119,0,0,0,0
18,101.0276,100.1782,99.3748,101.5656,51.7711,0,0,0,0,50.1527,101.1142,100.3126,100.2261,101.1118,0,0,0,0
19,101.3144,100.4868,99.8705,101.7233,50.9074,0,0,0,0,51.4895,100.7162,100.2721,100.027,100.7976,0,0,0,0
20,100.9131,100.5379,99.393,102.2017,51.6628,0,0,0,0,50.8736,101.1958,100.7348,100.5153,100.3891,0,0,0,0
21,101.2835,100.1886,99.3317,101.9206,52.0916,0,0,0,0,50.2982,101.1783,100.7818,101.0048,100.5529,0,0,0,0
22,101.2635,100.4684,99.2847,101.9569,51.6047,0,0,0,0,51.1624,100.842,100.6945,100.5215,100.3577,0,0,0,0
23,101.3184,100.4131,99.028,101.878,51.6928,0,0,0,0,50.8621,100.6637,101.0153,100.332,100.4572,0,0,0,0
24,101.6847,99.9673,99.0925,102.3108,51.2364,0,0,0,0,51.3567,100.7834,100.6346,100.0865,100.4305,0,0,0,0
25,101.6677,100.4617,98.8843,101.951,51.6642,0,0,0,0,50.8041,101.1262,101.0254,99.7844,100.8887,0,0,0,0
26,101.3233,100.9534,98.8859,101.6218,51.8397,0,0,0,0,50.993,100.8663,100.7899,99.8739,101.1009,0,0,0,0
27,101.2643,101.1936,98.7846,101.2849,52.1167,0,0,0,0,50.7335,101.0671,100.805,100.2482,100.7904,0,0,0,0
28,101.3867,101.4815,98.5282,101.3836,51.451,0,0,0,0,51.3142,100.5882,101.115,99.7516,100.4619,0,0,0,0
29,101.3965,101.8876,98.6957,101.7721,50.8223,0,0,0,0,51.6533,100.674,100.8835,99.6803,100.6831,0,0,0,0
30,101.2855,101.3902,98.2579,101.9334,50.7163,0,0,0,0,51.3884,100.3602,100.4858,99.319,101.0298,0,0,0,0
31,101.4954,101.2676,97.8131,101.5199,50.5557,0,0,0,0,51.418,100.1747,100.2297,99.0913,100.738,0,0,0,0
32,101.9319,101.7066,97.8482,101.2261,50.5177,0,0,0,0,51.4937,100.6127,100.1324,99.5347,100.4569,0,0,0,0
33,101.5953,101.3561,97.4854,101.0538,50.8408,0,0,0,0,51.3382,100.3736,99.9477,99.6499,100.022,0,0,0,0
34,101.1141,101.2514,97.4484,101.1844,50.9594,0,0,0,0,50.9581,100.3771,100.257,99.7166,99.649,0,0,0,0
35,101.1579,101.1636,97.3462,101.6412,50.033,0,0,0,0,51.4442,100.5177,99.8317,99.3965,99.1518,0,0,0,0
36,101.2531,101.5157,96.8878,101.7868,50.1444,0,0,0,0,51.0782,100.8883,99.7226,99.6485,99.2502,0,0,0,0
37,101.4005,101.8558,97.3735,101.8507,49.8268,0,0,0,0,51.5658,100.995,99.6707,99.6462,99.4296,0,0,0,0
38,101.8189,102.3188,96.8881,101.8344,49.6512,0,0,0,0,52.1688,100.9058,99.4258,99.8993,99.1117,0,0,0,0
39,101.914,102.4324,96.8583,101.5173,49.8152,0,0,0,0,51.7983,100.4576,99.9054,99.8993,99.4766,0,0,0,0
40,102.0046,102.8932,97.1755,101.1476,49.6718,0,0,0,0,51.6568,100.7912,99.8664,100.3608,99.2176,0,0,0,0
41,102.4164,102.9174,97.5661,100.8639,49.2637,0,0,0,0,51.7385,100.7357,99.958,100.3977,99.1976,0,0,0,0
42,102.2382,103.3767,97.368,100.3958,50.0951,0,0,0,0,51.1701,100.698,100.3701,100.5625,99.6732,0,0,0,0
43,101.7648,103.23,97.5978,100.8919,49.7096,0,0,0,0,51.3681,100.7933,100.388,100.4295,99.2153,0,0,0,0
44,102.0217,102.865,98.0044,101.1887,49.6128,0,0,0,0,51.4444,101.2756,100.3163,100.8391,98.8172,0,0,0,0
45,101.6586,102.8233,97.5205,101.6272,49.2919,0,0,0,0,51.2866,100.9356,100.3148,100.4444,98.9401,0,0,0,0
46,101.6715,103.287,97.2974,101.8854,48.7987,0,0,0,0,52.0353,100.7471,100.0221,100.1662,98.9692,0,0,0,0
47,101.4934,102.9592,97.2967,101.6501,48.9226,0,0,0,0,52.1344,100.3182,99.716,100.2335,98.9199,0,0,0,0
48,101.547,102.7196,97.266,101.2069,49.6016,0,0,0,0,51.8517,100.7383,99.3582,100.2487,99.1442,0,0,0,0
49,101.1875,102.5183,97.1554,101.0508,49.8949,0,0,0,0,51.481,100.4606,99.4478,100.5315,98.886,0,0,0,0
50,101.3509,102.915,97.4029,100.7319,49.481,0,0,0,0,52.0246,100.5117,99.3604,100.5376,98.4473,0,0,0,0
51,100.9187,103.2184,97.1818,100.2397,49.7601,0,0,0,0,51.3805,100.3838,99.4323,101.0354,98.0866,0,0,0,0
52,100.4263,102.7879,97.1291,100.088,49.9033,0,0,0,0,50.8368,99.9002,99.0204,101.2061,98.371,0,0,0,0
53,100.6093,102.5338,97.5148,100.0888,49.8757,0,0,0,0,50.603,100.1126,99.0398,101.5811,98.2859,0,0,0,0
54,100.9424,102.084,97.2323,100.1397,49.6582,0,0,0,0,51.2255,99.9809,98.5441,101.3936,97.9125,0,0,0,0
55,101.105,101.6672,97.5262,100.3784,49.6162,0,0,0,0,50.9746,99.9436,98.9131,101.572,97.8898,0,0,0,0
56,101.2492,101.3317,97.14,100.5733,49.7833,0,0,0,0,50.6204,100.1386,98.7566,101.4071,98.1547,0,0,0,0
57,101.2403,101.7463,97.2473,100.4006,49.917,0,0,0,0,50.75,100.1039,98.8617,101.5227,98.3133,0,0,0,0
58,101.6547,101.5262,97.0233,100.6146,49.7069,0,0,0,0,51.0816,100.2945,98.5651,101.4447,98.1397,0,0,0,0
59,101.232,101.7084,96.7385,100.3683,49.9549,0,0,0,0,51.0894,100.357,98.0774,100.9606,98.5176,0,0,0,0
60,101.6316,102.0962,97.15,100.6653,49.3079,0,0,0,0,52.1606,100.1085,98.3644,101.0697,98.1477,0,0,0,0
61,101.1451,102.4283,97.0445,100.8702,48.6876,0,0,0,0,52.5394,99.7236,98.3953,100.5912,97.9263,0,0,0,0
62,100.785,102.4665,97.2879,101.0175,48.4721,0,0,0,0,52.4314,99.7499,98.242,100.4827,98.1231,0,0,0,0
63,100.3315,102.8447,96.9298,100.5553,48.7252,0,0,0,0,51.691,99.5106,98.4575,100.5645,98.1629,0,0,0,0
64,99.9981,103.3008,96.6709,100.9272,48.6178,0,0,0,0,51.315,99.7839,98.7178,100.0651,98.6329,0,0,0,0
65,99.9413,102.8331,96.4912,100.9974,48.9762,0,0,0,0,51.2794,99.6851,98.6148,99.7673,98.8927,0,0,0,0
66,99.4781,103.0649,96.7203,100.809,49.0442,0,0,0,0,51.6508,99.7129,98.3955,99.5021,98.8552,0,0,0,0
67,99.322,102.676,96.3207,101.0225,49.4712,0,0,0,0,50.9642,100.1692,98.2271,99.8343,98.6176,0,0,0,0
68,99.1631,102.3999,96.3792,101.0506,50.089,0,0,0,0,50.328,100.4696,98.2108,100.1295,98.9439,0,0,0,0
69,98.8877,102.8485,96.0153,101.3518,49.8981,0,0,0,0,50.5468,100.7754,97.8348,100.0309,98.8135,0,0,0,0
70,99.2665,102.5937,96.451,101.3128,49.6362,0,0,0,0,50.7302,100.9905,97.7976,99.8928,98.8491,0,0,0,0
71,99.1019,102.4876,96.348,101.3215,50.0676,0,0,0,0,50.7844,101.4397,97.3547,100.3908,98.357,0,0,0,0
72,98.9571,102.1945,96.832,101.3603,50.3042,0,0,0,0,50.9841,101.2556,97.5533,100.3781,98.4769,0,0,0,0
73,99.1925,102.3647,96.5418,101.7035,50.036,0,0,0,0,51.0433,100.8137,97.6978,100.6477,98.636,0,0,0,0
74,99.1041,102.1731,96.7587,101.625,50.2842,0,0,0,0,51.0483,101.2343,97.3903,100.957,98.3152,0,0,0,0
75,99.2881,102.5438,97.0956,101.3124,49.981,0,0,0,0,51.6757,101.5296,96.9843,101.147,97.8843,0,0,0,0
76,99.6525,102.838,96.8537,101.7315,49.2046,0,0,0,0,51.9664,101.3531,97.2839,100.7291,97.9477,0,0,0,0
77,99.9605,102.5372,96.9434,101.2452,49.844,0,0,0,0,51.4309,101.8305,97.7464,100.398,98.1244,0,0,0,0
78,99.6531,102.2899,97.2666,101.1034,50.1032,0,0,0,0,51.3639,101.7091,97.5146,100.6325,98.1962,0,0,0,0
79,100.0629,102.7654,97.5474,100.9236,49.2524,0,0,0,0,52.442,101.3571,97.6101,100.3466,97.796,0,0,0,0
80,100.3907,103.0181,97.7337,100.7585,48.9922,0,0,0,0,52.3594,101.8181,97.2388,100.208,98.269,0,0,0,0
81,100.1574,102.8023,97.8077,100.5123,48.7993,0,0,0,0,52.1513,102.1147,96.8442,100.015,97.9538,0,0,0,0
82,100.5079,102.5636,97.9428,100.2659,48.6812,0,0,0,0,52.0468,101.7665,96.8245,100.3471,97.9766,0,0,0,0
83,100.1846,102.9486,98.3295,100.5635,48.3191,0,0,0,0,52.6302,102.1704,96.5326,100.1452,97.8669,0,0,0,0
84,100.3272,102.6941,97.8943,100.7156,48.5059,0,0,0,0,52.7178,102.2176,96.1403,99.9254,98.136,0,0,0,0
85,100.3714,102.52,97.9104,100.4694,48.7082,0,0,0,0,52.5265,101.8154,96.4445,99.9104,98.2826,0,0,0,0
86,100.5811,102.4889,97.825,100.5817,48.9077,0,0,0,0,52.5127,101.7644,96.5603,99.8956,98.6515,0,0,0,0
87,100.6938,102.3955,97.4742,100.2594,48.8588,0,0,0,0,52.5031,101.3251,96.3421,99.5648,98.9467,0,0,0,0
88,100.9724,102.5054,97.7771,99.862,48.8246,0,0,0,0,52.8548,101.4831,96.3884,99.5019,98.7132,0,0,0,0
89,100.8126,102.8109,97.4884,100.2478,48.4471,0,0,0,0,52.8552,101.8796,96.2904,99.2439,98.5377,0,0,0,0
90,100.9215,102.8057,97.3803,100.1216,48.3388,0,0,0,0,53.1205,101.5665,96.3382,99.0633,98.4794,0,0,0,0
91,100.4676,103.2474,97.0476,100.2505,48.6845,0,0,0,0,52.6379,102.0648,96.4583,98.9818,98.5547,0,0,0,0
92,100.8255,102.8679,97.2556,100.2591,48.7062,0,0,0,0,52.9624,101.913,96.3929,98.9565,98.6895,0,0,0,0
93,101.2641,103.3595,97.6945,99.8611,48.5035,0,0,0,0,53.2217,101.8707,96.8257,99.1804,98.5842,0,0,0,0
94,100.9851,103.4892,97.7813,99.9717,48.5119,0,0,0,0,53.0805,101.8281,96.9245,99.0405,98.8657,0,0,0,0
95,100.8675,102.9998,98.0755,100.3285,49.0417,0,0,0,0,52.8315,101.6018,97.2094,99.461,99.2093,0,0,0,0
96,100.8007,102.5163,98.1358,100.3265,49.2786,0,0,0,0,52.8329,101.6548,97.2259,99.6225,98.7218,0,0,0,0
97,100.9686,102.4586,98.5283,100.2363,48.8347,0,0,0,0,52.9825,101.9996,96.9937,99.5639,98.4868,0,0,0,0
98,101.3415,102.8942,98.0603,100.3141,48.8552,0,0,0,0,53.3827,102.4838,96.9605,99.4253,98.213,0,0,0,0
99,100.9032,103.0343,98.5546,100.037,48.9096,0,0,0,0,53.0756,102.906,96.4747,99.6054,98.377,0,0,0,0
100,101.0042,102.7024,98.1674,99.9602,49.6868,0,0,0,0,52.018,103.3618,96.8596,100.0714,98.2102,0,0,0,0
101,100.5282,103.0306,98.2092,100.1207,50.128,0,0,0,0,51.9501,103.5295,96.4426,100.5387,98.5559,0,0,0,0
